filename,tile,domain,year,I0,J0,I1,J1,lat_sw,lon_sw,lat_se,lon_se,lat_nw,lon_nw,lat_ne,lon_ne,url
wrfout_d02_1320_2019.nc,1320,d02,2019,132,202,141,211,54.90632439,-128.91162490,54.94604874,-128.28927232,55.26372433,-128.98412323,55.30377483,-128.35625078,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1320/wrfout_d02_1320_2019.nc
wrfout_d02_1321_2019.nc,1321,d02,2019,132,212,141,221,55.26372433,-128.98412323,55.30377483,-128.35625078,55.62104988,-129.05792235,55.66147423,-128.42444993,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1321/wrfout_d02_1321_2019.nc
wrfout_d02_1322_2019.nc,1322,d02,2019,132,222,141,231,55.62104988,-129.05792235,55.66147423,-128.42444993,55.97830010,-129.13307570,56.01910019,-128.49389647,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1322/wrfout_d02_1322_2019.nc
wrfout_d02_1323_2019.nc,1323,d02,2019,132,232,141,241,55.97830010,-129.13307570,56.01910019,-128.49389647,56.33550072,-129.20962905,56.37667561,-128.56459807,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1323/wrfout_d02_1323_2019.nc
wrfout_d02_1324_2019.nc,1324,d02,2019,132,242,141,251,56.33550072,-129.20962905,56.37667561,-128.56459807,56.69257546,-129.28762818,56.73414993,-128.63662337,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1324/wrfout_d02_1324_2019.nc
wrfout_d02_1325_2019.nc,1325,d02,2019,132,252,141,261,56.69257546,-129.28762818,56.73414993,-128.63662337,57.04957485,-129.36707690,57.09152508,-128.71004867,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1325/wrfout_d02_1325_2019.nc
wrfout_d02_1326_2019.nc,1326,d02,2019,132,262,141,271,57.04957485,-129.36707690,57.09152508,-128.71004867,57.40642452,-129.44800187,57.44872475,-128.78485110,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1326/wrfout_d02_1326_2019.nc
wrfout_d02_1327_2019.nc,1327,d02,2019,132,272,141,281,57.40642452,-129.44800187,57.44872475,-128.78485110,57.76315022,-129.53050232,57.80587483,-128.86107638,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1327/wrfout_d02_1327_2019.nc
wrfout_d02_1328_2019.nc,1328,d02,2019,132,282,141,291,57.76315022,-129.53050232,57.80587483,-128.86107638,58.11972427,-129.61462403,58.16282368,-128.93880082,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1328/wrfout_d02_1328_2019.nc
wrfout_d02_1329_2019.nc,1329,d02,2019,132,292,141,301,58.11972427,-129.61462403,58.16282368,-128.93880082,58.47609997,-129.70037460,58.51962471,-129.01804732,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1329/wrfout_d02_1329_2019.nc
wrfout_d02_1330_2019.nc,1330,d02,2019,132,302,141,311,58.47609997,-129.70037460,58.51962471,-129.01804732,58.83230019,-129.78777695,58.87622452,-129.09884643,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1330/wrfout_d02_1330_2019.nc
wrfout_d02_1331_2019.nc,1331,d02,2019,132,312,141,321,58.83230019,-129.78777695,58.87622452,-129.09884643,59.18830013,-129.87695313,59.23262501,-129.18124773,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1331/wrfout_d02_1331_2019.nc
