filename,tile,domain,year,I0,J0,I1,J1,lat0,lon0,lat1,lon1,url,,,,,,,
wrfout_d02_0514_2019.nc,514,d02,2019,52,142,61,151,52.74850082,-132.7277985,52.37419891,-133.1605072,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0514/wrfout_d02_0514_2019.nc,,,,,,,
wrfout_d02_0515_2019.nc,515,d02,2019,52,152,61,161,53.10279846,-132.8289948,52.72800064,-133.2644043,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0515/wrfout_d02_0515_2019.nc,,,,,,,
wrfout_d02_0516_2019.nc,516,d02,2019,52,162,61,171,53.45709991,-132.9319,53.08179855,-133.3699951,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0516/wrfout_d02_0516_2019.nc,,,,,,,
wrfout_d02_0517_2019.nc,517,d02,2019,52,172,61,181,53.81129837,-133.036499,53.43560028,-133.4774933,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0517/wrfout_d02_0517_2019.nc,,,,,,,
wrfout_d02_0518_2019.nc,518,d02,2019,52,182,61,191,54.16559982,-133.1430054,53.78939819,-133.5868073,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0518/wrfout_d02_0518_2019.nc,,,,,,,
wrfout_d02_0519_2019.nc,519,d02,2019,52,192,61,201,54.5196991,-133.251297,54.14310074,-133.6979065,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0519/wrfout_d02_0519_2019.nc,,,,,,,
wrfout_d02_0520_2019.nc,520,d02,2019,52,202,61,211,54.87379837,-133.3616028,54.49679947,-133.8110046,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0520/wrfout_d02_0520_2019.nc,,,,,,,
wrfout_d02_0521_2019.nc,521,d02,2019,52,212,61,221,55.22779846,-133.4738007,54.85029984,-133.9261932,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0521/wrfout_d02_0521_2019.nc,,,,,,,
wrfout_d02_0522_2019.nc,522,d02,2019,52,222,61,231,55.58169937,-133.5879974,55.2038002,-134.0433044,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0522/wrfout_d02_0522_2019.nc,,,,,,,
wrfout_d02_0523_2019.nc,523,d02,2019,52,232,61,241,55.9355011,-133.7041931,55.55709839,-134.1625061,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0523/wrfout_d02_0523_2019.nc,,,,,,,
